Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,0.15,1102,0.206,1,2,0.147,1,1,2,1,94,3,2,0.175,4,0.255,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5
49,0,0.249,279,0.138,8,1,0.147,1,2,3,0,61,2,2,0.161,2,0.125,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7
37,1,0.15,1373,0.138,2,2,0.134,1,4,4,0,92,2,1,0.239,3,0.255,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0
33,0,0.249,1392,0.138,3,4,0.147,1,5,4,1,56,3,1,0.161,3,0.125,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0
27,0,0.15,591,0.138,2,1,0.136,1,7,1,0,40,3,1,0.239,2,0.125,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2
32,0,0.249,1005,0.138,2,2,0.147,1,8,4,0,79,3,1,0.239,4,0.255,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6
59,0,0.15,1324,0.138,3,3,0.136,1,10,3,1,81,4,1,0.239,1,0.125,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0
30,0,0.15,1358,0.138,24,1,0.147,1,11,4,0,67,3,1,0.239,3,0.101,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0
38,0,0.249,216,0.138,23,3,0.147,1,12,4,0,44,2,3,0.069,3,0.255,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8
36,0,0.15,1299,0.138,27,3,0.136,1,13,3,0,94,3,2,0.069,3,0.125,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7
35,0,0.15,809,0.138,16,3,0.136,1,14,1,0,84,4,1,0.239,2,0.125,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3
29,0,0.15,153,0.138,15,2,0.147,1,15,4,1,49,2,2,0.239,3,0.255,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8
31,0,0.15,670,0.138,26,1,0.147,1,16,1,0,31,3,1,0.161,3,0.101,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3
34,0,0.15,1346,0.138,19,2,0.136,1,18,2,0,93,3,1,0.239,4,0.101,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2
28,1,0.15,103,0.138,24,3,0.147,1,19,3,0,50,2,1,0.239,3,0.255,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3
29,0,0.15,1389,0.138,21,4,0.147,1,20,2,1,51,4,3,0.069,1,0.101,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8
32,0,0.15,334,0.138,5,2,0.147,1,21,1,0,80,4,1,0.161,2,0.101,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5
22,0,0.08,1123,0.138,16,2,0.136,1,22,4,0,96,4,1,0.239,4,0.101,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0
53,0,0.15,1219,0.206,2,4,0.147,1,23,1,1,78,2,4,0.049,4,0.125,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7
38,0,0.15,371,0.138,2,3,0.147,1,24,4,0,45,3,1,0.161,4,0.255,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2
24,0,0.08,673,0.138,11,2,0.134,1,26,1,1,96,4,2,0.069,3,0.101,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3
